MovieName,Director,Music Director,Genre,Cast,Review,Censorship,Month
Darbar (U/A),Murugadoss A.r.,Anirudh Ravichander,Action,"Cast: Rajinikanth , Nayantara , Sunil Shetty, Prateik Babbar, Jatin Sarna, Nivetha Thomas, Dalip Tahil 
                                 Drama",56%,(U/A),Jan
Pattas (U),Durai Senthilkumar R.s,Vivek - Mervin,Action,"Cast: Dhanush , Mehreen Pirzada, Naveen Chandra, Sneha , Nassar , Sathish",53%,(U),Jan
Rajavukku Check (U/A),Sai Rajkumar,Vinod Yajamanya,Action,"Cast: Cheran , Srushti Dange, Sarayu",50%,(U/A),Jan
Psycho (A),Myshkin,Ilaiyaraja,Thriller,"Cast: Udhayanidhi Stalin, Aditi Rao Hydari, Nithya Menen, Ram , Shaji Chen, Singampuli, Aadukalam Naren",60%,(A),Jan
Taana (U),Yuvaraj Subramani,Vishal Chandrasekhar,Comedy,"Cast: Vaibhav Reddy, Yogi Babu, Nandita Das, Pandiarajan",39%,(U),Jan
Dagaalty (U/A),Vijay Anand,Vijay Narain,Comedy,"Cast: Santhanam , Yogi Babu, Rittika Sen, Radha Ravi , Tarun Arora, Santhana Bharathi, Mano Bala 
                                 Drama",38%,(U/A),Jan
Naadodigal 2 (U/A),Samudirakanni,Justin Prabhakaran,Drama,"Casr: Sasikumar,",48%,(U/A),Jan
Vaanam Kottattum (U),Dhana,Sid Sriram,Action,"Cast: Vikram Prabhu, Madonna Sebastian, Raadhika Sarathkumar, Aishwarya Rajesh, Sarathkumar R, Raadhika Sarathkumar, Nandha Durairaj 
                                 Drama",58%,(U),Feb
Seeru (U/A),Rathna Shiva,Imman D,Action,"Cast: Sathish , Varun , Jiiva Choudry, Riya Suman",53%,(U/A),Feb
Oh My Kadavule (U/A),Ashwath Marimuthu,Leon James,Love,"Cast: Ashok Selvan, Ritika Singh, Vani Bhojan, Ms Bhaskar, Ramesh Thilak",64%,(U/A),Feb
Naan Sirithal (U),Raana,Hiphop Tamizha,Comedy,"Cast: Hiphop Tamizha Adhi, Iswarya Menon, Mime Gopi",54%,(U),Feb
God Father (U/A),Jegan Rajshekar,Naviin Ravindran,Action,"Cast: Natraj, Ananya , Lal",50%,(U/A),Feb
Mafia (U/A),Karthick Naren,Jakes Bejoy,Action,"Cast: Arun Vijay, Prasanna , Priya Bhavanisankar",56%,(U/A),Feb
Kannum Kannum Kollai Adithaal (U),Desingh Periasamy,Masala Coffee.,Love,"Cast: Dulquer Salman , Ritu Varma, Rakshan, Niranjani Ahathian",65%,(U),Feb
Draupathi (U/A),Mohan G,Jubin.,Drama,"Cast: Richard Rishi,",38%,(U/A),Feb
Gypsy (A),Rajumurugan,Santhosh Narayanan,Comedy,"Cast: Jiiva Choudry,",56%,(A),Mar
Velvet Nagaram (U/A),Manojkumar Natrajan,Achu Rajamani,Thriller,"Cast: Varalaxmi Sarathkumar, Ramesh Thilak",48%,(U/A),Mar
Asuraguru (U/A),Rajdeep,Simon,Action,"Cast: Vikram Prabhu, Mahima Nambiar, Yogi Babu, Naginedu , Subbaraju",35%,(U/A),Mar
Walter (U),U. Anbu,Dharmaprakash,Crime,"Cast: Sibiraj , Samuthirakani , Sanam Shetty, Shirin Kanchwala, Charlie, Natarajan Subramaniam",39%,(U),Mar
Dharala Prabhu (U/A),Krishna Marimuthu,Anirudh Ravichander,Comedy,"Cast: Harish Kalyan, Tanya Hope, Vivek",62%,(U/A),Mar
Ponmagal Vandhal (OTT Release),Jj Fredrick,Govind Vasantha,Thriller,"Cast: Jyotika Saravanan, Bhagyaraj K, Parthiban , Pandiarajan , Prathap Pothan, Vidya Pradeep, Thiyagarajan 
                                 Drama",50%,(OTT Release),May
Penguin (OTT Release),Eashvar Karthic,Santhosh Narayanan,Drama,"Cast: Keerthi Suresh, Linga , Madhampatty Rangaraj",55%,(OTT Release),Jun
Viswasam (U),Siva,Imman D,Action,Cast: Ajith,60%,(U),Jan
Petta (U/A),Karthik Subburaj,Anirudh Ravichander,Action,"Cast: Rajinikanth , Vijay Sethupathi, Nawazuddin Siddiqui, Trisha Krishnan, Megha Akash , Bobby Simha",63%,(U/A),Jan
Charlie Chaplin 2 (U),Sakthi Chidambaram,Amresh Ganesh,Comedy,"Cast: Prabhu Deva, Nikki Galrani, Prabhu Ganesan, Adah Sharma , Amit Bhargav, Aravind Akash",42%,(U),Jan
Simba (U),Arvind Sridhar,Vishal Chandrasekhar,Comedy,"Cast: Bharath , Premji Amaren, Swathi Deekshith Bhanu, Bhanu Sri Mehra",48%,(U),Jan
Peranbu (U/A),Ram,Yuvan Shankar Raja,Drama,"Cast: Mammootty , Anjali , Sadhana, Samuthirakani",66%,(U/A),Feb
Sarvam Thaala Mayam (U),Rajiv Menon,A.r. Rahman,Drama,"Cast: Gv Prakash, Aparna Balamurali , Nedumudi Venu, Vineeth , Dhivyadharshini",59%,(U),Feb
Vantha Rajavaathaan Varuven (U),Sundar C,Hiphop Tamizha,Action,"Cast: Silambarasan Rajendar, Megha Akash , Catherine Tresa, Prabhu Ganesan, Ramya Krishnan, Nassar , Mahat Raghavendra 
                                 Drama",39%,(U),Feb
Sagaa (U/A),Murugesh,Shabir,Drama,,45%,(U/A),Feb
Dhilluku Dhuddu 2 (U/A),Rambhala,Shabir,Comedy,"Cast: Santhanam , Shritha Sivadas, Rajendran, Urvashi",55%,(U/A),Feb
Dev (U),Rajat Ravishankar,Harris Jayaraj,Action,"Cast: Karthik Sivakumar, Rakul Preet Singh , Prakash Raj , Ramya Krishnan, Vamsee Krishna",42%,(U),Feb
To Let (U),Chezhiyan,64%,Drama,,Storyline:,(U),Feb
Kanne Kalai Maane (U),Seenu Ramasamy,Yuvan Shankar Raja,Love,"Cast: Udhayanidhi Stalin, Tamannah Bhatia, Vadivukkarasi, Shaji Chen, Vasundhara Kashyap, Vtv Ganesh, Anandaraj 
                                 Drama",58%,(U),Feb
Lkg (U),Prabhu,Leon James,Comedy,"Cast: R.j.balaji, Priya Anand, J.k.rithish , Mayilsamy , Santhana Bharathi, Mano Bala , Ramesh Thilak 
                                 Drama",60%,(U),Feb
90ml (A),Anita Udeep,Str,Drama,"Cast: Oviya , Anson Paul",46%,(A),Mar
Thadam (U/A),Magizh Thirumeni,Arun Raj,Mystery,"Cast: Arun Vijay, Vidya Pradeep, Tanya Hope, Sonia Agarwal, Yogi Babu, Chaams, Aadukalam Naren 
                                 Drama",64%,(U/A),Mar
Thirumanam (U),Cheran,Siddarth Vippin,Family,"Cast: Cheran , Thambi Ramaiah, Ms Bhaskar, Mano Bala , Bala Saravanan, Jayaprakash , Anupama Kumar",40%,(U),Mar
Sathru (U/A),Naveen Nanjundan,Amrish,Action,"Cast: Kathir , Srushti Dange",51%,(U/A),Mar
Boomerang (U),Kannan R,Radhan,Action,"Cast: Adharvaa Murali, Megha Akash , R.j.balaji, Sathish",49%,(U),Mar
Pottu (U/A),Vadivudaiyan,Amresh Ganesh,Horror,"Cast: Bharath , Iniya , Namitha Kapoor, Srushti Dange, Manisha Yadav, Rajendran, Sayaji Shinde 
                                 Drama",30%,(U/A),Mar
Ispade Rajavum Idhaya Raniyum (U/A),Ranjith Jeyakodi,Sam C.s,Love,"Cast: Harish Kalyan, Shilpa Manjunath, Bala Saravanan",44%,(U/A),Mar
July Kaatril,Kc Sundaram,Joshua Sridhar,Romance,"Cast: Ananth Nag, Anju Kurian, Samyuktha Menon, Sathish",50%,,Mar
Nedunalvaadai (U),Selvakannan,Jose Franklin.,Family,"Cast: Poo Ramu, Mime Gopi",63%,(U),Mar
Agni Dev (U/A),Jpr,Jakes Bejoy,Action,"Cast: Bobby Simha, Madhoo",30%,(U/A),Mar
Airaa (U/A),Sarjun Km,Sundara Moorthy,Thriller,"Cast: Nayantara , Kalaiyarasan, Yogi Babu, Jayaprakash",50%,(U/A),Mar
Super Deluxe (A),Thiagarajan Kumararaja,Yuvan Shankar Raja,Thriller,"Cast: Vijay Sethupathi, Fahadh Faasil, Myshkin , Samantha Prabhu, Gayathrie Shankar, Ramya Krishnan, Bagavathi Perumal",69%,(A),Mar
Natpe Thunai (U),D. Parthiban Desingu,Hiphop Tamizha,Sports,"Cast: Hiphop Tamizha Adhi, Pandiarajan , Karu Pazhaniappan, Harish Uthaman, Radha Ravi , Mansoor Ali Khan, Anagha",56%,(U),Apr
Uriyadi 2 (U),Vijaykumar,Govind Menon,Social,"Cast: Vijay Kumar, Vismaya",60%,(U),Apr
Kuppathu Raja (U/A),R S Baskar,G.v. Prakash Kumar,Action,"Cast: Gv Prakash, Parthiban , Palak Lalwani, Poonam Bajwa, Ms Bhaskar, Yogi Babu, R.n.r.manohar 
                                 Drama",40%,(U/A),Apr
Oru Kadhai Sollatuma,Prasad Prabhakar,Rahul Raj,Drama,"Cast: Resul Pookutty,",50%,,Apr
Gangs Of Madras (A),C.v Kumar,Hari Dafusia,Crime,"Cast: Daniel Balaji,",52%,(A),Apr
Watchman (U),Vijay A.l.,G.v. Prakash Kumar,Crime,"Cast: Gv Prakash, Yogi Babu, Samyuktha Hegde, Swaminathan",48%,(U),Apr
Kanchana 3 (U/A),Raghava Lawrence,Doopaadoo,Horror,"Cast: Oviya , Lawrence Raghavendra, Vedhika Kumar, Kovai Sarala, Mano Bala , Sriman , Devadarshini",42%,(U/A),Apr
Mehandi Circus (U),Saravana Rajendhiran,Sean Roldan,Action,"Cast: Madhampatty Rangaraj, Shweta Tripathi, Vela Ramamoorthy",59%,(U),Apr
Vellai Pookal (U/A),Vivek Elangovan,Ramgopal Krishnaraju,Crime,"Cast: Vivek , Charlie, Pooja Devariya",61%,(U/A),Apr
Devarattam (U/A),Muthaiah,Nivas K.prasanna,Action,"Cast: Gautham Karthik, Soori, Manjima Mohan, Ramdoss, Bose Venkat, Rajkiran , Jagapati Babu 
                                 Drama",38%,(U/A),May
K13 (U/A),Barath Neelakandan,Sam C.s,Mystery,"Cast: Arulnidhi , Shraddha Srinath, Yogi Babu",59%,(U/A),May
100 (U/A),Sam Anton,Sam C.s,Action,"Cast: Adharvaa Murali, Hansika Motwani, Yogi Babu, Radha Ravi , Saravanan , Aadukalam Naren",48%,(U/A),May
Kee (U/A),Kalees,Vishal Chandrasekhar,Crime,"Cast: Jiiva Choudry, Anaika Soti , Nikki Galrani, Rajendra Prasad, Govind Padmasoorya, Suhasini Ratnam, R.j.balaji 
                                 Drama",31%,(U/A),May
Ayogya (U/A),Venkat Mohan,Sam C.s,Action,"Cast: Vishal Krishna, Rashi Khanna, Parthiban , Vamsee Krishna , K.s. Ravikumar",54%,(U/A),May
Monster (U),Nelson Venkat,Justin Prabhakaran,Fantasy,"Cast: S J Surya, Priya Bhavanisankar, Karunakaran",61%,(U),May
Mr. Local (U),Rajesh M,Hiphop Tamizha,Action,"Cast: Sivakarthikeyan , Nayantara , Sathish , Yogi Babu, Narayan Lucky, Raadhika Sarathkumar, R.j.balaji 
                                 Drama",45%,(U),May
Neeya 2 (U),L Suresh,Shabir,Horror,"Cast: Jai , Varalaxmi Sarathkumar, Catherine Tresa",20%,(U),May
Lisaa (U/A),Raju Viswanath,Santhosh Dayanidhi,Horror,"Cast: Anjali , Makarand Deshpande, Yogi Babu, Mime Gopi, Sam Jones",40%,(U/A),May
Ngk (U),Selvaraghavan,Yuvan Shankar Raja,Social,"Cast: Suriya Sivakumar, Sai Pallavi, Rakul Preet Singh , Jagapati Babu, Devaraj, Ponvannan , Balasingh 
                                 Drama",53%,(U),May
Devi 2 (U),Vijay A.l.,Sam C.s,Thriller,"Cast: Prabhudeva Sundaram, Kovai Sarala, Tamannah Bhatia, Yogi Babu, Guru Somasundaram, Nandita Sweta",36%,(U),May
Kolaigaran (U/A),Andrew Louis,Vijay Antony,Thriller,"Cast: Vijay Antony, Arjun Sarja, Nassar , Ashima Narwal, Seetha , Sathyan , Guru Somasundaram 
                                 Drama",63%,(U/A),Jun
Suttu Pidikka Utharavu (U),Ramprakash Rayappa,Jakes Bejoy,Action,"Cast: Vikranth, Myshkin , Suseenthiran, Athulya",60%,(U),Jun
Game Over (U/A),Ashwin Saravanan,Ron Ethan Yohann,Mystery,"Cast: Taapsee Pannu, Vinodhini Vaidyanathan, Anish Kuruvilla, Sanchana Natarajan, Vj Ramya",65%,(U/A),Jun
Nenjamundu Nermaiyundu Odu Raja (U),Karthik Venugopalan,Shabir,Family,"Cast: Rio Raj, Shirin Kanchwala, Radha Ravi",48%,(U),Jun
Thumbaa (U),Harish Ram,Anirudh Ravichander Vivek-mervin Santhosh Dhayanidhi,Adventure,"Cast: Darshan , Keertthi Pandian",57%,(U),Jun
Pakkiri (the Extraordinary Journey Of The Fakir) (U/A),Ken Scott,Nicolas Errèra,Adventure,"Cast: Dhanush , Bérénice Bejo, Barkhad Abdi, Erin Moriarty",60%,(U/A),Jun
Sindhubaadh (U/A),S. U. Arun Kumar,Yuvan Shankar Raja,Action,"Cast: Vijay Sethupathi, Anjali , Linga",44%,(U/A),Jun
Dharma Prabhu (U),Muthukumaran,Justin Prabhakaran,Comedy,"Cast: Yogi Babu, Janani Iyer, Karunakaran , Ramesh Thilak, Rajendran, Radha Ravi , Azhagam Perumal 
                                 Drama",43%,(U),Jun
Jiivi (U),Gopinath,Sundara Moorthy,Thriller,Cast: Vetri,62%,(U),Jun
House Owner (U),Lakshmi Ramakrishnan,Mohamaad Ghibran,Action,"Cast: Kishore , Viji Chandrasekhar, Lovelyn Chandrasekhar, Kishore Ds",61%,(U),Jun
Raatchasi (U),Raj .s,Sean Roldan,Drama,"Cast: Jyotika Saravanan, Hareesh Peradi, Poornima Bhagyaraj, Sathyam",51%,(U),Jul
Kalavani 2 - K2 (U),Sarkunam A,Mani Amudhavan (songs) V2 (songs) V. Ronald Regan (songs) Natarajan Sankaran(score),Comedy,"Cast: Vimal , Oviya , Rj Vigneshkanth, Saranya Ponvannan, Ilavarasu, Ganja Karuppu, Vinodhini Vaidyanathan",50%,(U),Jul
Gorilla (U),Don Sandy,Sam C.s,Action,"Cast: Jiiva Choudry, Shalini Pandey, Radha Ravi , Yogi Babu, Rajendran, Ramdoss, Sathish 
                                 Drama",42%,(U),Jul
Vennila Kabaddi Kuzhu 2 (U),Selva Sekaran,Selvaganesh V,Action,"Cast: Vikranth, Pasupathy , Kishore , Anupama Kumar, Soori, Appukutty , Ganja Karuppu 
                                 Drama",40%,(U),Jul
Gurkha (U),Sam Anton,Raj Aryan,Comedy,"Cast: Yogi Babu, Anandaraj, Livingston, Raj Bharath",48%,(U),Jul
Bodhai Yeri Budhi Maari (U/A),Chandru Kr,Kp,Action,"Cast: Dheeraj, Radha Ravi , Charlie, Ajay , Pradaini, Dushara",50%,(U/A),Jul
Aadai (A),Rathna Kumar,"Pradeep Kumar ,oorka",Drama,"Cast: Amala Paul, Vj Ramya , Vivek Prasanna, Sriranjini",62%,(A),Jul
Kadaram Kondan (U/A),Rajesh Selvam,Ghibran M,Action,"Cast: Vikram , Akshara Haasan, Lena , Abi Hassan, Vikas",54%,(U/A),Jul
A1 Accused No-1 (U),Johnson K,Santhosh Narayanan,Action,"Cast: Santhanam , Tara Alisha Berry, Rajendran, Ms Bhaskar, Lollu Sabha Manohar, Yatin Karyekar, Swaminathan",54%,(U),Jul
Kolanji (U),Dhanaram Saravanan,Natarajan Sankaran,Family,"Cast: Samuthirakani , Sanghavi , Rajaji, Naina Sarwar",48%,(U),Jul
Chennai Palani Mars (U),Biju,Niranjan Babu,Adventure,"Cast: Praveen Raja, Rajesh Giriprasad, A.ravikumar, Madankumar Dakshinamoorthy, Paari Elavazhagan, Vasant Marimuthu",43%,(U),Jul
Kazhugu 2 (U),Sathyasiva,Yuvan Shankar Raja,Comedy,"Cast: Krishna Sekhar, Bindu Madhavi, Kaali Venkat, Yaashika Aannand",38%,(U),Aug
Jackpot (U),Kalyaan,Vishal Chandrasekhar,Comedy,"Cast: Jyotika Saravanan, Revathi , Yogi Babu, Anandaraj, Mansoor Ali Khan, Rajendran",51%,(U),Aug
Nerkonda Paarvai (U/A),H.vinoth,Yuvan Shankar Raja,Crime,"Cast: Ajith Kumar, Vidya Balan, Rangaraj Pandey, Shraddha Srinath, Adhik Ravichandran, Delhi Ganesh, Abhirami Venkatachalam 
                                 Drama",65%,(U/A),Aug
Kolaiyuthir Kaalam (U/A),Chakri Toleti,Yuvan Shankar Raja,Thriller,"Cast: Nayantara , Prathap Pothan, Bhumika Chawla, Rohini Hattangadi",33%,(U/A),Aug
Comali (U),Pradeep Ranganathan,Hiphop Tamizha,Comedy,"Cast: Jayam Ravi, Kajal Agarwal, Samyuktha Hegde, K.s. Ravikumar, Yogi Babu, Kavita Radheshyam",59%,(U),Aug
Kennedy Club (U),Suseendran,Imman D,Sports,"Cast: Sasikumar M, Bharathiraja , Gayathrie Shankar, Soori, Murali Sharma",44%,(U),Aug
Mei (U),Sa Baskaran,Prithivi Kumar,Crime,"Cast: Aishwarya Rajesh, Kishore",50%,(U),Aug
Sixer (U),Chachi,Ghibran M,Comedy,"Cast: Vaibhav Reddy, Pallak Lalwani, Sathish , Radha Ravi , Ilavarasu",55%,(U),Aug
Saaho (U/A),Sujeeth,Tanishk Bagchi .,Action,"Cast: Prabhas, Shraddha Kapoor, Jackie Shroff, Neil Nitin Mukesh, Vennela Kishore, Murali Sharma, Arun Vijay 
                                 Drama",41%,(U/A),Aug
Zombie (U/A),Bhuvan Nullan,Premgi Amaren,Comedy,"Cast: Yogi Babu, Yaashika Aannand",18%,(U/A),Sep
Magamuni (U/A),Shanthakumar,Thaman,Crime,"Cast: Arya , Indhuja, Mahima Nambiar, Kaali Venkat, Jayaprakash , Aruldoss",62%,(U/A),Sep
Sivappu Manjal Pachai (U),Sasi,Siddhu Kumar,Action,"Cast: Siddharth Narayan, Gv Prakash, Lijomol Jose, Kashmira, Dheepa Ramanujam",56%,(U),Sep
Pailwaan (U/A),Krishna .s,Arjun Janya,Action,"Cast: Aakanksha Singh, Sudeep , Sunil Shetty, Sushant Singh, Kabir Duhan Singh, K.s. Ravikumar",54%,(U/A),Sep
Oththa Seruppu (U),Parthiban R,Santhosh Narayanan,Drama,Cast: Parthiban,68%,(U),Sep
Kaappaan (U/A),K.v Anand,Harris Jayaraj,Action,"Cast: Suriya Sivakumar, Mohanlal , Arya , Sayesha Saigal, Boman Irani, Samuthirakani , Prem Kumar",60%,(U/A),Sep
Namma Veettu Pillai (U),Pandiaraj,Imman D,Action,"Cast: Sivakarthikeyan , Anu Emmanuel, Aishwarya Rajesh, Bharathiraja , Samuthirakani , Yogi Babu, Soori 
                                 Drama",58%,(U),Sep
Sye Raa Narasimha Reddy (U/A),Surender Reddy,Amit Trivedi,History,"Cast: Chiranjeevi , Amitabh Bachchan, Sudeep , Vijay Sethupathi, Jagapati Babu, Nayantara , Tamannah Bhatia 
                                 Drama",59%,(U/A),Oct
100 % Kadhal (U),M.m. Chandramouli,G.v. Prakash Kumar,Love,"Cast: Gv Prakash, Shalini Pandey, Sathish , Nassar , Mano Bala",28%,(U),Oct
Asuran (U/A),Vetrimaaran,G.v. Prakash Kumar,Action,"Cast: Dhanush , Manju Warrier, Ammu Abirami, Balaji Sakthivel, Prakash Raj , Pasupathy , Subramaniam Siva 
                                 Drama",73%,(U/A),Oct
Aruvam (U/A),Sai Shekhar,Thaman,Comedy,"Cast: Siddharth Narayan, Catherine Tresa, Kaali Venkat, Kaali Venkat, Sathish , Kabir Duhan Singh, Aadukalam Naren 
                                 Drama",41%,(U/A),Oct
Petromax (U/A),Rohin Venkatesan,Ghibran M,Comedy,"Cast: Tamannah Bhatia, Yogi Babu, Kalaiyarasan",47%,(U/A),Oct
Puppy (U/A),Nattu Dev,Dharan Kumar,Comedy,"Cast: Varun , Yogi Babu, Samyuktha Hegde, Rajendran",50%,(U/A),Oct
Kaaviyyan (U),Parthasarathy. I.v.,Syam Mohan Mm,Thriller,"Cast: Shaam , Sridevi Kumar, Athmiya",30%,(U),Oct
Bigil (U/A),Atlee,A.r. Rahman,Sports,"Cast: Vijay Chandrasekhar, Nayantara , Vivek , Jackie Shroff, Kathir , Daniel Balaji, Anandaraj 
                                 Drama",64%,(U/A),Oct
Kaithi (U/A),Lokesh Kanagaraj,Sam C.s,Action,"Cast: Karthik Sivakumar, Narain , George Maryan, Vatsan Chakravarthy, Yogi Babu, Mahanadi Shankar, Ponvannan 
                                 Drama",71%,(U/A),Oct
Miga Miga Avasaram (U),Suresh Kamatchi,Ishaan Dev.,Action,"Cast: Sri Priyanka, Harish Kumar",44%,(U),Nov
Sanga Thamizhan (U/A),Vijay Chandar,Vivek - Mervin,Action,"Cast: Vijay Sethupathi, Raashi Khanna, Nivetha Pethuraj, John Vijay, Soori, Nassar , Ashutosh Rana 
                                 Drama",48%,(U/A),Nov
Action (U/A),Sundar C,Hiphop Tamizha,Action,"Cast: Vishal Krishna, Tamannah Bhatia, Aishwarya Lekshmi, Chaya Singh, Ramki, Kabir Duhan Singh, Yogi Babu 
                                 Drama",45%,(U/A),Nov
Kd (U/A),Madhumita,Karthikeya Murthy,Adventure,"Cast: Yog Japee, Nagavishal, Ramasamy",68%,(U/A),Nov
Adithya Varma (A),Gireesaaya,Radhan,Love,"Cast: Dhruv, Banita Sandhu, Priya Anand, Leela Samson, Bagavathi Perumal",60%,(A),Nov
Enai Nokki Paayum Thotta (U/A),Gautham Menon,Darbuka Siva,Action,"Cast: Dhanush , Megha Akash , Sasikumar M, Sunaina , Rana Daggubati, Sathish Krishnan, Jagan",48%,(U/A),Nov
