MovieName,Director,Music Director,Genre,Cast,Review,Censorship,Month
Kochadaiiyaan (U),Soundarya Rajnikanth,A.r. Rahman,Animation,"Cast: Rajinikanth , Deepika Padukone, Aadhi , Nassar , Shobana , Jackie Shroff, Sarathkumar R 
                                 Drama",60%,(U),May
Manjapai (U),Naveen Raghavan,N R Raghunathan,Drama,"Cast: Vimal , Lakshmi Menon, Rajkiran",46%,(U),Jun
Un Samayal Araiyil (U),Prakash Raj,Ilaiyaraja,Family,"Cast: Prakash Raj , Sneha",50%,(U),Jun
Mundasupatti (U),Ram,Sean Roldan,Comedy,"Cast: Vishnu Vishal, Nandita , Kaali Venkat, Ramadoss",63%,(U),Jun
Athithi (U/A),Bharathan,Bharadwaj,Drama,"Cast: Nikesh Ram,",46%,(U/A),Jun
Saivam (U),Vijay A.l.,G.v. Prakash Kumar,Family,"Cast: Nassar , Sara Arjun, Vidya Pradeep",64%,(U),Jun
Arima Nambi (U),Anand Shankar,Sivamani,Thriller,"Cast: Vikram Prabhu, Priya Anand, Lekha Washington, Ms Bhaskar",58%,(U),Jul
Gnana Rajasekaran,Gnana Rajasekaran,Ramesh Vinayagam,Drama,"Cast: Abhinay Vaddi, Bhama",56%,(U),Jul
H Vinod,H Vinod,Sean Roldan,Drama,"Cast: Natraj, Ishara Nair, Ponvannan",67%,(U),Jul
Velai Illa Pattathari (U),Velraj K,Anirudh Ravichander,Drama,"Cast: Dhanush , Amala Paul, Saranya Ponvannan, Samuthirakani , Vivek , Surabhi",65%,(U),Jul
Anis,Anis,Ghibran M,Romance,"Cast: Jai , Nazriya Nazim, Pandiarajan , Mayilsamy",41%,(U),Jul
Jigarthanda (U/A),Karthik Subburaj,Santhosh Narayanan,Action,"Cast: Siddharth Narayan, Lakshmi Narayan, Bobby Simha, Karunakaran , Vijay Sethupathi, Aadukalam Naren, Delhi Ganesh 
                                 Drama",76%,(U/A),Aug
Sarabham (U/A),Arun Mohan,Britto Michael,Crime,"Cast: Naveen Chandra, Saloni Luthra, Aadukalam Naren",58%,(U/A),Aug
Anjaan (U),Lingusamy N,Yuvan Shankar Raja,Action,"Cast: Suriya Sivakumar, Samantha Prabhu, Vidyut Jamwal, Manoj Bajpai, Soori, Brahmanandam",39%,(U),Aug
Kathai Thiraikadhai Vasanam Iyakkam,Parthiban R,Sathya,Drama,"Cast: Santhosh Pratap, Akhila Kishore, Thambi Ramaiah",60%,,Aug
L.g.ravichandar,L.g.ravichandar,Simon,,,36%,(U),Aug
Salim (U/A),Nirmal Kumar,Vijay Antony,Crime,"Cast: Vijay Antony, Aksha Pardasany",54%,(U/A),Aug
Irumbu Kuthirai (U),Yuvaraj,G.v. Prakash Kumar,Action,"Cast: Adharvaa Murali, Priya Anand, Johnny Tri Nguyen, Lakshmi Rai, Jagan, Mano Bala , Mayilsamy 
                                 Drama",35%,(U),Aug
Amara Kaaviyam (U/A),Jeeva Sankar,Ghibran M,Love,"Cast: Sathya , Mia George, Thambi Ramaiah",49%,(U/A),Sep
Thanukumar,Thanukumar,M.s. Jones,Thriller,"Cast: Harish Kalyan, Aadukalam Naren, Ajay Rathnam, Mayilsamy",53%,,Sep
Tharanitharan,Tharanitharan,Sudharshan M Kumar,Drama,"Cast: Michael Thangadurai, Reshmi Menon",50%,(U/A),Sep
Sigaram Thodu (U),Gaurav,Imman D,Action,"Cast: Vikram Prabhu, Monal Gajjar, Sathyaraj , Gaurav Narayanan, K.s. Ravikumar, Kovai Sarala, Sathish 
                                 Drama",60%,(U),Sep
Raj Mohan,Raj Mohan,Yuvan Shankar Raja,Drama,,41%,(U),Sep
Sundar C,Sundar C,Bharadwaj,Comedy,"Cast: Vinay Rai, Hansika Motwani, Andrea Jeremiah, Lakshmi Rai, Santhanam , Nithin Sathya, Kovai Sarala 
                                 Drama",52%,(U/A),Sep
Aadama Jaichomada (U),Badri,Sean Roldan,Comedy,"Cast: Bobby Simha, Karunakaran , Vijayalakshmi Ahathian, Radha Ravi , Balaji Venugopal",47%,(U),Sep
Madras (U/A),Pa Ranjith,Santhosh Narayanan,Action,"Cast: Karthik Sivakumar, Catherine Tresa, Kalaiyarasan, Ritwika",73%,(U/A),Sep
Jeeva (U),Suseendran,Imman D,Sports,"Cast: Vishnu Vishal, Sri Divya, Soori, Charlie",64%,(U),Sep
Ravi K Chandran,Ravi K Chandran,Harris Jayaraj,Love,"Cast: Jiiva Choudry, Thulasi Nair, Nassar , Arjunan, Premji Amaren, Prakash Raj , Thambi Ramaiah 
                                 Drama",33%,(U),Oct
Poojai (U/A),Hari,Yuvan Shankar Raja,Action,"Cast: Vishal Krishna, Shruthi Haasan, Sathyaraj , Soori, Jayaprakash , Mano Bala , Prathap Pothan 
                                 Drama",49%,(U/A),Oct
Kaththi (U),Murugadoss A.r.,Anirudh Ravichander,Social,"Cast: Vijay Chandrasekhar, Samantha Prabhu, Neil Nitin Mukesh, Sathish , Sayaji Shinde, Yuvina Parthavi",70%,(U),Oct
Farah Khan,Farah Khan,Vishal Shekar,Drama,Cast: Shah Rukh Khan,58%,,Oct
Lakshmi Ramakrishnan,Lakshmi Ramakrishnan,Madley Blues,Drama,"Cast: Pia Bajpai, Sruthi Hariharan, Shabeer, Thambi Ramaiah, Bala Saravanan, Thalaivasal Vijay, Viji Chandrasekhar",53%,(U),Oct
Oru Oorula Rendu Raja (U),Kannan R,Imman D,Comedy,"Cast: Vimal , Soori, Priya Anand, Vishakha Singh, Thambi Ramaiah, Nassar , Anupama Kumar",42%,(U),Nov
Jaihind 2 (U/A),Arjun Sarja,Arjun Janya,Action,"Cast: Arjun Sarja, Surveen Chawla, Brahmanandam, Mayilsamy , Mano Bala",43%,(U/A),Nov
Caarthick Raju,Caarthick Raju,Yuvan Shankar Raja,Drama,"Cast: Dinesh , Aishwarya Rajesh, Bala Saravanan, Nithin Sathya, Rajendran, John Vijay",58%,(U),Nov
Naaigal Jaakirathai (U),Shakthi Soundar Rajan,Dharan,Action,"Cast: Sibiraj , Arundhati , Mano Bala , Mayilsamy , Balaji Venugopal",58%,(U),Nov
Jai Krishna,Jai Krishna,N R Raghunathan,Drama,"Cast: Vijay Sethupathi, Krishna Kulasekaran, Sunaina",44%,(U/A),Nov
Kaaviya Thalaivan (U),Vasanthabalan,A.r. Rahman,Drama,"Cast: Siddharth Narayan, Prithviraj Sukumaran, Vedhika Kumar, Nassar , Anaika Soti , Thambi Ramaiah, Ponvannan",65%,(U),Nov
Lingaa (U),Ravikumar K.s.,A.r. Rahman,Action,"Cast: Rajinikanth , Anushka Shetty, Sonakshi Sinha, Jagapati Babu, Santhanam , Karunakaran , Brahmanandam 
                                 Drama",56%,(U),Dec
Pisasu (U/A),Myshkin,Arrol Corelli,Horror,"Cast: Naga , Prayaga, Radha Ravi",67%,(U/A),Dec
Kappal (U),Karthik G Krish,Natarajan Sankaran,Comedy,"Cast: Vaibhav Reddy, Vtv Ganesh, Karunakaran , Sonam Bajwa",50%,(U),Dec
Meagaamann (U/A),Magizh Thirumeni,Thaman,Action,"Cast: Arya , Hansika Motwani, Ashish Vidyarthi, Anupama Kumar",56%,(U/A),Dec
Kayal (U),Prabhu Solomon,Imman D,Drama,"Cast: Anandhi, Vincent, Chandran",62%,(U),Dec
Vellakara Durai (U),Ezhil S,Imman D,Drama,"Cast: Vikram Prabhu,",45%,(U),Dec
Alex Pandian (U),Suraj,Devi Prasad,Action,"Cast: Karthik Sivakumar, Anushka Shetty, Santhanam",27%,(U),Jan
Kanna Laddu Thinna Aasaiya (U),Manikandan,Thaman,Love,"Cast: Santhanam , Powerstar Sreenivasan, Sethu , Vishakha Singh",61%,(U),Jan
Vishwaroopam (U/A),Kamal Haasan,Shankar - Ehsaan - Loy,Action,"Cast: Kamal Haasan, Pooja Kumar, Isha Sharvani, Andrea Jeremiah",76%,(U/A),Jan
David (U),Bejoy Nambiar,Multiple Music Directors,Romance,"Cast: Vikram , Jiiva Choudry, Tabu , Neil Mukesh, Isha Sharvani",45%,(U),Feb
Kadal (U),Mani Ratnam,A.r. Rahman,Love,"Cast: Gautham Karthik, Arjun Sarja, Arvind Swamy, Thulasi Nair",45%,(U),Feb
A. M. R. Ramesh,A. M. R. Ramesh,Sandeep Chowta,,,55%,,Feb
Kumaravelan Gnr,Kumaravelan Gnr,Vijay Antony,Sci-Fi,"Cast: Kishore , Sneha",66%,(u),Feb
Aadhi Bhagavan (A),Ameer Sultan,Yuvan Shankar Raja,Action,"Cast: Jayam Ravi, Neetu Chandra",41%,(A),Feb
Selvakumar P.t.,Selvakumar P.t.,Kay,Comedy,"Cast: Vinay Rai, Premji Amaren, Sathyan , Lakshmi Rai",16%,(A),Mar
Selvakumar P.t.,Selvakumar P.t.,Kay,Comedy,"Cast: Vinay Rai, Premji Amaren, Sathyan , Lakshmi Rai",16%,(A),Mar
Paradesi (U),Bala,G.v. Prakash Kumar,Classics,"Cast: Adharvaa Murali, Vedhika Kumar, Dhansika",74%,(U),Mar
Vathikuchi (U/A),Kinslin,Ghibran M,Drama,"Cast: Dileepan,",51%,(U/A),Mar
Kedi Billa Killadi Ranga (U),Pandiraj,Yuvan Shankar Raja,Comedy,"Cast: Sivakarthikeyan , Vimal , Regina Cassandra, Bindu Madhavi",56%,(U),Mar
Shaheed Kader,Shaheed Kader,Mejo Joseph,Thriller,"Cast: Sarathkumar R, Cheran , Prakash Raj , Prasanna",60%,(U),Mar
Settai (U),Kannan R,Thaman,Drama,"Cast: Arya,",49%,(U),Apr
Udhayam Nh4 (U),Manimaran,G.v. Prakash Kumar,Action,"Cast: Siddharth Narayan, Ashrita",58%,(U),Apr
Gouravam (U),Radhamohan,Thaman,Social,"Cast: Prakash Raj , Allu Sirish, Yami Gautam, Harish Uthaman, Nassar , Sricharan",43%,(U),Apr
Yaaruda Mahesh (A),R. Madhan Kumar,Gopi Sunder,Drama,"Cast: Sundeep Kishan,",48%,(A),Apr
Naan Rajavaga Pogiren (U),Prithvi Rajkumar,G.v. Prakash Kumar,Action,"Cast: Nakul,",48%,(U),Apr
Moondru Per Moondru Kaadhal (U),Vasanth,Yuvan Shankar Raja,Romance,"Cast: Arjun Sarja, Cheran , Vimal , Bhanu , Surveen Chawla, Shruti Mohan",41%,(U),May
Soodhu Kavvum (U/A),Nalan Kumarasamy,Santhosh Narayanan,Crime,"Cast: Vijay Sethupathi, Sanchita Shetty, Karunakaran , Ashok Selvan, Bobby Simha, Ramesh Thilaganathan",76%,(U/A),May
Ethir Neechal (U),Senthil,Anirudh Ravichander,Sports,"Cast: Sivakarthikeyan , Priya Anand, Jayaprakash , Nandita Sweta, Mano Bala , Madhan Bob, R.j.balaji",63%,(U),May
"Nagaraja Cholan Ma, Mla",Manivannan,James Vasanthan,Social,"Cast: Sathyaraj , Seeman Sebastian",43%,,May
Neram (U),Alphonse Putharen,Rajesh Murugesan,Comedy,"Cast: Nivin Pauly, Nazriya Nazim, Nassar , Bobby Simha, Ramesh Thilaganathan, Charlie",60%,(U),May
Kutti Puli (U),Muthaiah,Ghibran M,Family,"Cast: Sasikumar M, Lakshmi Menon",33%,(U),May
Thillu Mullu (U),Badri,"Yuvan Shankar Raja, M.s.viswanathan",Drama,"Cast: Siva,",53%,(U),Jun
Theeya Velai Seiyyanum Kumaru (U),Sundar C,Sathya,Drama,"Cast: Siddharth Narayan, Ashrita",64%,(U),Jun
Annakodiyum Kodiveeranum,Bharathiraja,G.v. Prakash Kumar,Love,"Cast: Manoj Bharathiraja, Iniya , Karthika Nair",33%,,Jun
Ambikapathy (U/A),Anand L Rai,A.r. Rahman,Love,"Cast: Dhanush , Sonam Kapoor",60%,(U/A),Jun
Singam 2 (U),Hari,Devi Prasad,Action,"Cast: Suriya Sivakumar, Anushka Shetty, Hansika Motwani, Santhanam , Vivek , Nassar",60%,(U),Jul
Mariyaan (U),Bharat Bala,A.r. Rahman,Action,"Cast: Dhanush , Parvathi Menon, Jagan, Imman Annachi",62%,(U),Jul
Sonna Puriyadhu (U),Krishnan Jayaraj,Yathish Mahadev,Comedy,"Cast: Shiva , Vasundhara Kashyap",42%,(U),Jul
Pattathu Yaanai (U),Boopathy Pandian,Thaman,Action,"Cast: Vishal Krishna, Aishwarya Arjun, Santhanam",42%,(U),Jul
Thalaivaa (U),Vijay A.l.,G.v. Prakash Kumar,Action,"Cast: Vijay Chandrasekhar, Amala Paul, Sathyaraj , Santhanam , Ragini Nandwani, Ponvannan , Nassar 
                                 Drama",53%,(U),Aug
555 (U),Sasi,Simon,Drama,"Cast: Bharath,",56%,(U),Aug
Aadhalal Kadhal Seiveer,Suseendran,Yuvan Shankar Raja,Drama,"Cast: Santhosh Ramesh,",69%,,Aug
Desingu Raja,Ezhil S,Imman D,Comedy,"Cast: Vimal , Bindu Madhavi",41%,,Aug
Thanga Meengal (U),Ram,Yuvan Shankar Raja,Children,"Cast: Padmapriya Janakiraman, Ram , Sadhana, Sally",69%,(U),Aug
Ponmaalai Pozhudhu (U),Durai A.c.,Sathya,Love,"Cast: Aadhav Kannadasan, Gayathri",27%,(U),Aug
Varuthapadatha Valibar Sangam (U),Ponram,Imman D,Comedy,"Cast: Sivakarthikeyan , Soori, Sri Divya, Sathyaraj",61%,(U),Sep
Moodar Koodam (U),Naveen,Natarajan Sankaran,Crime,Cast: Naveen,62%,(U),Sep
Ya Yaa (U),Rajasekaran,Vijay Ebenezer,Romance,"Cast: Santhanam , Powerstar Srinivasan, Shiva , Remya Nambeesan",36%,(U),Sep
Raja Rani (U),Atlee,G.v. Prakash Kumar,Love,"Cast: Arya , Nayantara , Jai , Nazriya Nazim, Sathyaraj , Santhanam , Dhanya Balakrishna 
                                 Drama",66%,(U),Sep
Onaiyum Aatukuttiyum (U/A),Myshkin,Ilaiyaraja,Drama,"Cast: Sri,",74%,(U/A),Sep
Idharkuthane Aasaipattai Balakumara (U),Gokul,Siddarth Vippin,Drama,"Cast: Arya , Anushka Shetty",62%,(U),Oct
Vanakkam Chennai (U),Kiruthiga Udhayanidhi,Anirudh Ravichander,Comedy,"Cast: Shiva , Priya Anand",56%,(U),Oct
Naiyaandi (U),Sarkunam A,Ghibran M,Comedy,Cast: Dhanush,38%,(U),Oct
Arrambam (U),Vishnuvardan,Yuvan Shankar Raja,Action,"Cast: Ajith Kumar, Arya , Nayantara , Taapsee Pannu, Kishore , Atul Kulkarni, Akshara Gowda 
                                 Drama",67%,(U),Oct
Pandiya Nadu (U),Suseendran,Imman D,Action,"Cast: Vishal Krishna, Lakshmi Menon, Vikranth, Soori, Bharathiraja",71%,(U),Nov
All In All Azhagu Raja (U),Rajesh M,Thaman,Romance,"Cast: Karthik Sivakumar, Kajal Agarwal, Santhanam",37%,(U),Nov
Pizza 2 The Villa (U/A),Deepan,Santhosh Narayanan,Thriller,"Cast: Ashok Selvan, Sanchita Shetty, Nassar",57%,(U/A),Nov
Irandam Ulagam (U),Selvaraghavan,Harris Jayaraj,Fantasy,"Cast: Arya , Anushka Shetty",42%,(U),Nov
Vidiyum Munn (U/A),Balaji K Kumar,Girish,Crime,"Cast: Pooja Umashankar, Malavika Manikuttan",73%,(U/A),Nov
Jannal Oram (U),Karu Pazhaniappan,Vidyasagar,Drama,,53%,(U),Nov
Naveena Saraswathi Sabatham (U),K Chandru,Prem,Comedy,"Cast: Jai , Nivetha Thomas, Sathyan , Vtv Ganesh",41%,(U),Nov
Kalyana Samayal Saadham (U/A),Rs Prasanna,Arrora,Love,"Cast: Prasanna , Lekha Washington",69%,(U/A),Dec
Ivan Veramaathiri (U),Saravanan M,Sathya,Action,"Cast: Vikram Prabhu, Surabhi",58%,(U),Dec
Endrendrum Punnagai (U/A),Mueenuddin Ahmed,Harris Jayaraj,Romance,"Cast: Jiiva Choudry, Trisha Krishnan, Vinay Rai, Santhanam , Nassar , Andrea Jeremiah",65%,(U/A),Dec
Biriyani (U/A),Venkat Prabhu,Yuvan Shankar Raja,Comedy,"Cast: Karthik Sivakumar, Hansika Motwani, Sneha , Prasanna , Premji Amaren",57%,(U/A),Dec
Madha Yaanai Koottam (U),Vikram Sukumaran,N R Raghunathan,Action,"Cast: Kathir , Oviya",48%,(U),Dec
Nanban (U),Shankar S,Harris Jayaraj,Comedy,"Cast: Vijay Chandrasekhar, Jiiva Choudry, Srikanth Krishnamachari, Illeana D'cruz, Sathyaraj , S J Surya, Sathyan 
                                 Drama",71%,(U),Jan
Vettai (U/A),Lingusamy N,Yuvan Shankar Raja,Action,"Cast: Madhavan R, Arya , Sameera Reddy, Amala Paul",56%,(U/A),Jan
Marina (U),Pandiraj,Girish,Children,"Cast: Sivakarthikeyan , Oviya , Jayaprakash",53%,(U),Feb
Dhoni (U),Prakash Raj,Ilaiyaraja,Children,"Cast: Prakash Raj , Radhika Apte",58%,(U),Feb
Kadhalil Sodhapuvadu Yeppadi (U),Balaji Mohan,Thaman,Romance,"Cast: Siddharth Narayan, Amala Paul, Arjunan",69%,(U),Feb
Ambuli (U),"Hareesh Narayan, K. Hari Shankar",Madhu Balakrishnan,Thriller,Cast: Parthiban,57%,(U),Feb
Muppozhudhum Un Karpanaigal (U),Elred Kumar,G.v. Prakash Kumar,Romance,"Cast: Adharvaa Murali, Amala Paul, Santhanam , Jayaprakash , Nassar",43%,(U),Feb
Aravaan (U),Vasanthabalan,Karthik,Adventure,"Cast: Aadhi , Pasupathy , Archana Kavi, Dhansika",55%,(U),Mar
Kazhugu (U/A),Sathyasiva,Yuvan Shankar Raja,Adventure,"Cast: Krishna Sekhar, Bindu Madhavi, Karunas , Thambi Ramaiah",53%,(U/A),Mar
3 (U),Aishwarya Dhanush,Anirudh Ravichander,Romance,"Cast: Dhanush , Shruthi Haasan",53%,(U),Mar
Oru Kal Oru Kannadi (U),Rajesh M,Harris Jayaraj,Comedy,"Cast: Udhayanidhi Stalin, Hansika Motwani, Santhanam , Saranya Ponvannan",66%,(U),Apr
Leelai (U),Andrew Louis,Sathish Chakaravarthy,Comedy,Cast: Santhanam,56%,(U),Apr
Vazhakku En 18/9 (U/A),Balaji Shakthivel,R Prasanna,Drama,"Cast: Sri,",80%,(U/A),May
Kalakalappu @masala Cafe (U),Sundar C,Vijay Ebenezer,Drama,"Cast: Vimal,",62%,(U),May
Venu Sriram,Venu Sriram,Rahul Raj,Drama,"Cast: Siddharth Narayan, Hansika Motwani, Shruthi Haasan",52%,(U/A),May
Ishtam (A),Prem Nizar,Thaman,Romance,"Cast: Vimal , Nisha Aggarwal, Santhanam",29%,(A),May
Urumi (U),Santosh Sivan,Deepak Dev,Drama,,60%,(U),May
Manam Kothi Paravai (U),Ezhil S,Imman D,Romance,Cast: Sivakarthikeyan,44%,(U),Jun
Thadaiyara Thaakka (A),Magizh Thirumeni,Thaman,Action,"Cast: Arun Vijay, Mamta Mohandas",63%,(A),Jun
Selva Bharathy,Selva Bharathy,Srikanth Deva,Drama,"Cast: Sundar C, Sneha , Sindhu Tolani, Suman , Vivek",31%,(U),Jun
Saguni (U),Shankar Dayal N,G.v. Prakash Kumar,Social,"Cast: Karthik Sivakumar, Santhanam , Pranitha , Raadhika Sarathkumar",50%,(U),Jun
Naan Ee (U/A),S S Rajamouli,M M Keeravani,Adventure,"Cast: Sudeep , Nani , Samantha Prabhu",77%,(U/A),Jul
Billa-2 (A),Chakri Toleti,Yuvan Shankar Raja,Action,"Cast: Ajith Kumar, Parvathy Omanakuttan, Bruna Abdullah, Prabhu Ganesan, Sudhanshu Pandey, Vidyut Jamwal, Yog Japee 
                                 Drama",44%,(A),Jul
Maalai Pozhudhin Mayakathilaey (U),Narayan Rao,Achu,Drama,,34%,(U),Jul
Mirattal,Ramana Madhesh,Pravin Mani,Comedy,"Cast: Vinay Rai, Santhanam , Sharmila Mandre",33%,(U),Aug
Kamalakannan,Kamalakannan,Ved Shankar,,,52%,(A),Aug
Naan (U/A),Jeeva Sankar,Vijay Antony,Crime,"Cast: Vijay Antony, Rupa Manjari, Anuya Bhagvath",61%,(U/A),Aug
Attakathi (U/A),Pa Ranjith,Santosh,Romance,"Cast: Dinesh , Nandita",63%,(U/A),Aug
18 Vayasu (U/A),Paneerselvam,Charles Bosco,Thriller,Cast: Johnny,32%,(U/A),Aug
Mugamoodi (U),Myshkin,Kay,Adventure,"Cast: Jiiva Choudry, Narain , Pooja Hegde",51%,(U),Aug
Paagan (U),Mohammed Aslam,James Vasanthan,Comedy,"Cast: Srikanth Krishnamachari, Janani Iyer, Kovai Sarala",36%,(U),Sep
Sundarapandian (U),Prabhakaran,N R Raghunathan,Comedy,"Cast: Sasikumar M, Lakshmi Menon",66%,(U),Sep
Pon Kumaran,Pon Kumaran,Sundar Babu,Drama,"Cast: Priyamani , Seetha , Saranya Ponvannan, Skanda",43%,(U),Sep
Anbazhagan,Anbazhagan,Imman D,Drama,"Cast: Samuthirakani , Thambi Ramaiah",49%,(U),Sep
Thaandavam,Vijay A.l.,G.v. Prakash Kumar,Action,"Cast: Vikram , Anushka Shetty, Amy Jackson, Santhanam",58%,(U),Sep
English Vinglish,Gauri Shinde,Amit Trivedi,Drama,Casr: Ajith,70%,(U),Oct
Maattrraan (U),K.v Anand,Harris Jayaraj,Action,"Cast: Suriya Sivakumar, Kajal Agarwal",64%,(U),Oct
Perarasu,Perarasu,Perarasu,Drama,"Cast: Bharath , Sunaina , Raj Kiran, Pandiarajan",17%,(U),Oct
Pizza (U/A),Karthik Subburaj,Santhosh Narayanan,Mystery,"Cast: Vijay Sethupathi, Remya Nambeesan, Karunakaran , Aadukalam Naren, Bobby Simha, Pooja Ramachandran",77%,(U/A),Oct
Podaa Podi (U),Vignesh Shivan,Dharan,Romance,"Cast: Silambarasan Rajendar, Shobana , Varalaxmi Sarathkumar",59%,(U),Nov
Thuppakki (U),Murugadoss A.r.,Harris Jayaraj,Action,"Cast: Vijay Chandrasekhar, Kajal Agarwal, Jayaram , Sathyan , Vidyut Jamwal, Deepthi Nambiar, Zakir Hussain 
                                 Drama",74%,(U),Nov
Ammavin Kaipesi (U),Thangar Bachan,Rohit Kulkarni,Family,"Cast: Shanthanoo Bhagyaraj, Iniya , Thangar Bachan, Meenal",40%,(U),Nov
Naduvula Konjam Pakkatha Kanom (U),Balaji Tharaneetharan,Ved Shankar,Comedy,"Cast: Vijay Sethupathi, Gayathri",68%,(U),Nov
Kumki (U),Prabhu Solomon,Imman D,Adventure,"Cast: Vikram Prabhu, Lakshmi Menon, Thambi Ramaiah, Sreejith Ravi, Yaar Kannan",71%,(U),Dec
Neethaane En Ponvasantham,Gautham Menon,Ilaiyaraja,Love,"Cast: Jiiva Choudry, Samantha Prabhu",51%,(U/A),Dec